,Function,Taylor Expression
6165,-cos(x),-x**4/24 + x**2/2 - 1
6166,-3*x - 2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 30)/6
6167,-3*x**3 + x,-3*x**3 + x
6168,-x**2 - 2*exp(x),-x**4/12 - x**3/3 - 2*x**2 - 2*x - 2
6169,-sin(x),x**3/6 - x
6170,sin(x),-x**3/6 + x
6171,cos(exp(x)),x**4*(-6*cos(1) + 5*sin(1))/24 - x**3*cos(1)/2 - sqrt(2)*x**2*sin(pi/4 + 1)/2 - x*sin(1) + cos(1)
6172,sin(sqrt(x**2 + 1)),-sqrt(2)*x**4*sin(pi/4 + 1)/8 + x**2*cos(1)/2 + sin(1)
6173,exp(-0.25*x*sin(x)),0.0729166666666667*x**4 - 0.25*x**2 + 1
6174,-3*exp(x) - 3*sin(x),-x**4/8 - 3*x**2/2 - 6*x - 3
6175,-sin(3*sqrt(x**2 + 1)*cos(x)),x**4*cos(3) - sin(3)
6176,-1.0*x**2*log(x + 1),x**3*(0.5*x - 1.0)
6177,sin(2*sqrt(x**2 + 1)),-x**4*(cos(2) + 2*sin(2))/4 + x**2*cos(2) + sin(2)
6178,log(9*exp(2*x) + 1),69*x**4/2500 - 12*x**3/125 + 9*x**2/50 + 9*x/5 + log(10)
6179,9*x**6 - 3.0*x**3*cos(x) + 0.25*cos(x)**2,0.0833333333333333*x**4 - 3.0*x**3 - 0.25*x**2 + 0.25
6180,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
6181,-sin(3*x**2 - 3*exp(x)),x**4*(55*cos(3) + 6*sin(3))/8 + x**3*(9*sin(3) - 8*cos(3))/2 - 3*x**2*(cos(3) + 3*sin(3))/2 + 3*x*cos(3) + sin(3)
6182,sin(sin(x)),-x**3/3 + x
6183,-sin(x),x**3/6 - x
6184,log(36*x**2*cos(x)**2 + 36*cos(x)**2 + 1),-24*x**4/37 + log(37)
6185,cos(x),x**4/24 - x**2/2 + 1
6186,x**2*exp(-0.5*x**2) + 2*x*exp(-0.5*x**2) + exp(-0.5*x**2),-0.375*x**4 - 1.0*x**3 + 0.5*x**2 + 2*x + 1
6187,0.5*x - 3*sin(x),x*(x**2 - 5.0)/2
6188,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
6189,3*cos(x),x**4/8 - 3*x**2/2 + 3
6190,x**4,x**4
6191,-3*x**3,-3*x**3
6192,-exp(x)*log(x + 1),-x*(x**2/3 + x/2 + 1)
6193,-2*sin(x),x*(x**2 - 6)/3
6194,0.5*x**2 + 3*log(x + 1),x*(-0.75*x**3 + 1.0*x**2 - 1.0*x + 3.0)
6195,-0.5*x**2,-0.5*x**2
6196,-3*x**2 + 0.5*cos(x),0.0208333333333333*x**4 - 3.25*x**2 + 0.5
6197,log(9*log(x + 1)**2 + 1),x**2*(-129*x**2/4 - 9*x + 9)
6198,2*sin(x),x*(6 - x**2)/3
6199,cos(3*sin(x)),39*x**4/8 - 9*x**2/2 + 1
6200,-sin(x),x**3/6 - x
6201,4*x**2 + 12*x*exp(x) + 9*exp(2*x),8*x**4 + 18*x**3 + 34*x**2 + 30*x + 9
6202,3*sqrt(x**2 + 1) + 3*log(x + 1),-9*x**4/8 + x**3 + 3*x + 3
6203,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6204,cos(sqrt(x**2 + 1) - 3*cos(x)),-x**4*(8*cos(2) + sin(2))/4 + 2*x**2*sin(2) + cos(2)
6205,-2*x**2*cos(x),x**2*(x**2 - 2)
6206,-0.5*x**3,-0.5*x**3
6207,log(9*x**2*exp(2*x) + 9*exp(2*x) + 1),-2607*x**4/5000 + 21*x**3/250 + 27*x**2/25 + 9*x/5 + log(10)
6208,-sin(2*sqrt(x**2 + 1)),x**4*(cos(2) + 2*sin(2))/4 - x**2*cos(2) - sin(2)
6209,-0.5*x - 3*cos(x),-0.125*x**4 + 1.5*x**2 - 0.5*x - 3.0
6210,-3*x**2*cos(x),3*x**2*(x**2 - 2)/2
6211,-2.5*x**2,-2.5*x**2
6212,-3*x**3*log(x + 1),-3*x**4
6213,cos(2*x*log(x + 1)),1 - 2*x**4
6214,2*x**2 + 2*sin(x),x*(-x**2 + 6*x + 6)/3
6215,-sin(1.0*sqrt(x**2 + 1)*exp(x)),1.1267556265316*x**4 + 0.571319831873827*x**3 - 0.119566813464192*x**2 - 0.54030230586814*x - 0.841470984807897
6216,exp(3*sqrt(x**2 + 1))/(x**2 + 2*x + 1),(41*x**4 - 28*x**3 + 18*x**2 - 8*x + 4)*exp(3)/4
6217,-0.5*x**3,-0.5*x**3
6218,log(9*x**4 + 1),9*x**4
6219,0.5*x**3 + sqrt(x**2 + 1),-x**4/8 + 0.5*x**3 + x**2/2 + 1
6220,-3*sqrt(x**2 + 1) + 0.5*cos(x),0.395833333333333*x**4 - 1.75*x**2 - 2.5
6221,-3*sqrt(x**2 + 1) - 2*log(x + 1),7*x**4/8 - 2*x**3/3 - x**2/2 - 2*x - 3
6222,-sin(2*log(x + 1)),x*(-9*x**3 + 4*x**2 + 6*x - 12)/6
6223,-0.5*x**3*log(x + 1),-0.5*x**4
6224,exp(3*x*sqrt(x**2 + 1)),63*x**4/8 + 6*x**3 + 9*x**2/2 + 3*x + 1
6225,-1.5*log(x + 1)*sin(x),x**2*(-0.25*x**2 + 0.75*x - 1.5)
6226,-2*x**3 + 2*x**2,2*x**2*(1 - x)
6227,36*sin(x)**4,36*x**4
6228,-2*sin(x),x*(x**2 - 6)/3
6229,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
6230,3*x - 0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 + 2.5*x - 0.5
6231,2*x**2 - 2*cos(x),-x**4/12 + 3*x**2 - 2
6232,-sin(6*x*exp(x)),x*(107*x**3 + 33*x**2 - 6*x - 6)
6233,cos(3*log(x + 1)),-3*x**4/4 + 9*x**3/2 - 9*x**2/2 + 1
6234,exp(-3*sin(x)),15*x**4/8 - 4*x**3 + 9*x**2/2 - 3*x + 1
6235,-1.5*x**3,-1.5*x**3
6236,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
6237,log(2.25*exp(2*x)*cos(x)**2 + 1),0.115489653723609*x**4 - 0.535275375512062*x**3 - 0.266272189349112*x**2 + 1.38461538461538*x + 1.17865499634165
6238,exp(x**3),x**3 + 1
6239,exp(3*x**3),3*x**3 + 1
6240,x**4,x**4
6241,sin(3*x),-9*x**3/2 + 3*x
6242,log(2.25*x**2*log(x + 1)**2 + 2.25*log(x + 1)**2 + 1),x**2*(1.78125*x**2 - 2.25*x + 2.25)
6243,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
6244,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6245,0.5*log(x + 1) + 3*sin(x),x*(-0.125*x**3 - 0.333333333333333*x**2 - 0.25*x + 3.5)
6246,2*exp(x) - cos(x),x**4/24 + x**3/3 + 3*x**2/2 + 2*x + 1
6247,exp(-sqrt(x**2 + 1)),(x**4 - 2*x**2 + 4)*exp(-1)/4
6248,exp(2*sqrt(x**2 + 1))*exp(3*cos(x)),(2 - x**2)*exp(5)/2
6249,-2*x**3 - 3*log(x + 1),3*x*(x**3 - 4*x**2 + 2*x - 4)/4
6250,-0.5*x**3*sin(x),-0.5*x**4
6251,-sin(0.5*log(x + 1) + 2*cos(x)),0.831478929915039*x**4 - 0.50762281143626*x**3 - 0.406521367330718*x**2 + 0.208073418273571*x - 0.909297426825682
6252,sin(0.5*x + 3*cos(x)),-0.467765164234001*x**4 + 0.126464849724076*x**3 + 1.46734874389318*x**2 - 0.494996248300223*x + 0.141120008059867
6253,cos(0.5*x**3 - 2*cos(x)),0.132298632704764*x**4 + 0.454648713412841*x**3 + 0.909297426825682*x**2 - 0.416146836547142
6254,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
6255,sqrt(x**2 + 1)*cos(x),1 - x**4/3
6256,sin(2*x**2 + 0.5*sqrt(x**2 + 1)),-1.26839480471004*x**4 + 1.97456076425334*x**2 + 0.479425538604203
6257,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
6258,9*cos(x)**2,3*x**4 - 9*x**2 + 9
6259,36*x**4*cos(x)**2,36*x**4
6260,-6*x**3*sin(x),-6*x**4
6261,cos(2*x),2*x**4/3 - 2*x**2 + 1
6262,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
6263,-9*x**3*sqrt(x**2 + 1),-9*x**3
6264,0.5*x**3,0.5*x**3
6265,sin(x**2),x**2
6266,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
6267,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
6268,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
6269,log(9*exp(2*x)*sin(x)**2 + 1),x**2*(-51*x**2/2 + 18*x + 9)
6270,3.5*x,3.5*x
6271,-1.5*sqrt(x**2 + 1)*log(x + 1),x*(0.75*x**3 - 1.25*x**2 + 0.75*x - 1.5)
6272,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
6273,sin(x**3*cos(x)),x**3
6274,1.0*x**3,1.0*x**3
6275,0.5*sqrt(x**2 + 1) - 3*log(x + 1),0.6875*x**4 - x**3 + 1.75*x**2 - 3*x + 0.5
6276,cos(log(x + 1)),-5*x**4/12 + x**3/2 - x**2/2 + 1
6277,-x**3,-x**3
6278,log(9*exp(2*x) + 1),69*x**4/2500 - 12*x**3/125 + 9*x**2/50 + 9*x/5 + log(10)
6279,0.25*exp(2*x),0.166666666666667*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.25
6280,-cos(x),-x**4/24 + x**2/2 - 1
6281,0.25*sin(x)**2,x**2*(0.25 - 0.0833333333333333*x**2)
6282,9*cos(x)**2,3*x**4 - 9*x**2 + 9
6283,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
6284,-0.5*x**2*cos(x),x**2*(0.25*x**2 - 0.5)
6285,-sin(x + sin(x)),x*(3*x**2 - 4)/2
6286,3*x**2 - 2*exp(x),-x**4/12 - x**3/3 + 2*x**2 - 2*x - 2
6287,-9*x**4,-9*x**4
6288,-1.5*x**3*sqrt(x**2 + 1),-1.5*x**3
6289,1.0*x**4,1.0*x**4
6290,4*x**2*cos(x)**2,4*x**2*(1 - x**2)
6291,sin(cos(x)),x**4*(-3*sin(1) + cos(1))/24 - x**2*cos(1)/2 + sin(1)
6292,-0.5*sqrt(x**2 + 1)*exp(x),-0.0833333333333333*x**4 - 0.333333333333333*x**3 - 0.5*x**2 - 0.5*x - 0.5
6293,-2*cos(x)**2,-2*x**4/3 + 2*x**2 - 2
6294,x - 0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 + 0.5*x - 0.5
6295,1/(x**2 + 2*x + 1),5*x**4 - 4*x**3 + 3*x**2 - 2*x + 1
6296,3*x + 0.5*sin(x),x*(3.5 - 0.0833333333333333*x**2)
6297,cos(0.5*x + 0.5*exp(x)),-0.0140502348665685*x**4 - 0.179443512255576*x**3 - 0.558647665596237*x**2 - 0.479425538604203*x + 0.877582561890373
6298,cos(0.5*log(x + 1) + 3*sin(x)),7.38802083333333*x**4 + 0.875*x**3 - 6.125*x**2 + 1
6299,log(x + 1)*sin(x),x**2*(x**2 - 3*x + 6)/6
6300,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
6301,-x**3,-x**3
6302,-6*x*sin(x),x**2*(x**2 - 6)
6303,0.25*x**2,0.25*x**2
6304,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
6305,cos(0.5*sin(x)),0.0442708333333333*x**4 - 0.125*x**2 + 1
6306,sin(0.5*x**3 - 3*x**2),x**2*(0.5*x - 3)
6307,sin(1.0*sqrt(x**2 + 1)*sin(x)),x*(0.166666666666667*x**2 + 1.0)
6308,log(36*exp(2*x)*sin(x)**2 + 1),x**2*(-588*x**2 + 72*x + 36)
6309,4*cos(x)**2,4*x**4/3 - 4*x**2 + 4
6310,-sin(2*x*exp(x)),x*(11*x**3 + x**2 - 6*x - 6)/3
6311,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
6312,-3*x**3,-3*x**3
6313,x,x
6314,cos(0.5*sqrt(x**2 + 1) + 2*log(x + 1)),-1.28133657923336*x**4 + 1.63599086857169*x**3 - 1.39559596982759*x**2 - 0.958851077208406*x + 0.877582561890373
6315,-0.5*exp(x) + 3*cos(x),0.104166666666667*x**4 - 0.0833333333333333*x**3 - 1.75*x**2 - 0.5*x + 2.5
6316,log(16*x**4*cos(x)**2 + 1),16*x**4
6317,4*sin(x)*cos(x),-8*x**3/3 + 4*x
6318,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
6319,-2*x**2*sqrt(x**2 + 1),x**2*(-x**2 - 2)
6320,-0.5*x**3,-0.5*x**3
6321,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
6322,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
6323,0.5*x*exp(x),x*(0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5)
6324,-1.0*x**2*sin(x),-1.0*x**3
6325,0.5*x,0.5*x
6326,-x + 0.5*sin(x),x*(-0.0833333333333333*x**2 - 0.5)
6327,1.0*x**3*exp(x),1.0*x**3*(x + 1)
6328,-0.5*x*exp(x),x*(-0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5)
6329,exp(0.5*x),0.00260416666666667*x**4 + 0.0208333333333333*x**3 + 0.125*x**2 + 0.5*x + 1
6330,sin(3*log(x + 1)),x*(12*x**3 - 7*x**2 - 3*x + 6)/2
6331,cos(3*x),27*x**4/8 - 9*x**2/2 + 1
6332,-sin(9*x*sqrt(x**2 + 1)),117*x**3 - 9*x
6333,log(9*x**4 + 12*x**2*sin(x) + 4*sin(x)**2 + 1),x**2*(-x**2 + 36*x + 12)/3
6334,sin(1.0*x**3*cos(x)),1.0*x**3
6335,-sin(x),x**3/6 - x
6336,9*x**2 - 3.0*sqrt(x**2 + 1)*log(x + 1) + 0.25*log(x + 1)**2 + 9,1.72916666666667*x**4 - 2.75*x**3 + 10.75*x**2 - 3.0*x + 9
6337,0.25*log(x + 1)**2,x**2*(0.229166666666667*x**2 - 0.25*x + 0.25)
6338,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
6339,-1.0*x**3,-1.0*x**3
6340,0.25*exp(2*x)*sin(x)**2,x**2*(0.416666666666667*x**2 + 0.5*x + 0.25)
6341,exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
6342,3*cos(x),x**4/8 - 3*x**2/2 + 3
6343,-3*x**2,-3*x**2
6344,exp(0.5*x**2)*exp(2*sin(x)),1.125*x**4 + 2.0*x**3 + 2.5*x**2 + 2*x + 1
6345,3*x**2*sin(x),3*x**3
6346,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
6347,sqrt(x**2 + 1) - 3*cos(x),-x**4/4 + 2*x**2 - 2
6348,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
6349,0.5*x**2,0.5*x**2
6350,-sin(2*x**2 + 2),2*x**4*sin(2) - 2*x**2*cos(2) - sin(2)
6351,sin(0.5*sin(x)),x*(0.5 - 0.104166666666667*x**2)
6352,-3*sin(x),x*(x**2 - 6)/2
6353,-3*sin(x),x*(x**2 - 6)/2
6354,log(log(x + 1)**2 + 1),x**2*(5*x**2/12 - x + 1)
6355,log(x + 1) + 2*cos(x),-x**4/6 + x**3/3 - 3*x**2/2 + x + 2
6356,cos(exp(x) - 2*cos(x)),-x**4*(19*sin(1) + 30*cos(1))/24 - 3*x**3*cos(1)/2 + x**2*(-cos(1) + 3*sin(1))/2 + x*sin(1) + cos(1)
6357,cos(3*cos(x)),-x**4*(9*cos(3) + sin(3))/8 + 3*x**2*sin(3)/2 + cos(3)
6358,-3*exp(x)*cos(x),x**4/2 + x**3 - 3*x - 3
6359,exp(0.5*sqrt(x**2 + 1)*sin(x)),0.0859375*x**4 + 0.1875*x**3 + 0.125*x**2 + 0.5*x + 1
6360,9*x**2,9*x**2
6361,-1.5*sqrt(x**2 + 1)*exp(x),-0.25*x**4 - 1.0*x**3 - 1.5*x**2 - 1.5*x - 1.5
6362,6*x**3,6*x**3
6363,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
6364,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
6365,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
6366,2*x**3 + 2*x,2*x*(x**2 + 1)
6367,-2*exp(x) + log(x + 1),-x**4/3 - 3*x**2/2 - x - 2
6368,1.5*x**3*sin(x),1.5*x**4
6369,0.5*x - 3*sin(x),x*(x**2 - 5.0)/2
6370,3*cos(x),x**4/8 - 3*x**2/2 + 3
6371,sin(x)**2 + 2*sin(x)*cos(x) + cos(x)**2,-4*x**3/3 + 2*x + 1
6372,3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
6373,9*x**4,9*x**4
6374,log(4*exp(2*x) + 1),8*x**4/1875 - 16*x**3/125 + 8*x**2/25 + 8*x/5 + log(5)
6375,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
6376,3*x**2 + 0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 3.25*x**2 + 0.5*x + 0.5
6377,sin(2*x**2 - 3*exp(x)),-x**4*(19*cos(3) + 14*sin(3))/8 + x**3*(8*cos(3) - 3*sin(3))/2 + x**2*(cos(3) + 9*sin(3))/2 - 3*x*cos(3) - sin(3)
6378,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
6379,3*x**2*sqrt(x**2 + 1),3*x**2*(x**2 + 2)/2
6380,log(4*x**6 + 12*x**3*cos(x) + 9*cos(x)**2 + 1),-21*x**4/200 + 6*x**3/5 - 9*x**2/10 + log(10)
6381,-0.5*x - 2*exp(x),-x**4/12 - x**3/3 - x**2 - 2.5*x - 2
6382,-sin(0.5*log(x + 1)),x*(0.09375*x**3 - 0.145833333333333*x**2 + 0.25*x - 0.5)
6383,cos(3*x + 3*sin(x)),57*x**4 - 18*x**2 + 1
6384,-0.25*sqrt(x**2 + 1)*cos(x),0.0833333333333333*x**4 - 0.25
6385,1.5*x*sin(x),x**2*(1.5 - 0.25*x**2)
6386,-x + 2*exp(x),x**4/12 + x**3/3 + x**2 + x + 2
6387,cos(3*sin(x)),39*x**4/8 - 9*x**2/2 + 1
6388,exp(x) - cos(x),x*(x**2/6 + x + 1)
6389,sin(sqrt(x**2 + 1) + 0.5*cos(x)),-0.0385401768384291*x**4 + 0.0176843004169257*x**2 + 0.997494986604054
6390,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
6391,3*x - cos(x),-x**4/24 + x**2/2 + 3*x - 1
6392,log(9*x**6 - 6*x**3*sqrt(x**2 + 1) + x**2 + 2),-x**4/8 - 3*x**3 + x**2/2 + log(2)
6393,log(16*cos(x)**2 + 1),-112*x**4/867 - 16*x**2/17 + log(17)
6394,exp(0.25*x**4),0.25*x**4 + 1
6395,3*x**3 + 2*x,x*(3*x**2 + 2)
6396,81*x**6 + 81*x**4,81*x**4
6397,sin(4*x*exp(x)),2*x*(-47*x**3 - 13*x**2 + 6*x + 6)/3
6398,-2*x*sqrt(x**2 + 1),x*(-x**2 - 2)
6399,x**2,x**2
6400,exp(0.5*exp(x)),(0.127604166666667*x**4 + 0.229166666666667*x**3 + 0.375*x**2 + 0.5*x + 1)*exp(1/2)
6401,3*x**2 - sin(x),x*(x**2 + 18*x - 6)/6
6402,cos(3*x),27*x**4/8 - 9*x**2/2 + 1
6403,sin(2*x**2),2*x**2
6404,exp(-0.25*exp(x)*sin(x)),0.04443359375*x**4 - 0.0234375*x**3 - 0.21875*x**2 - 0.25*x + 1
6405,3*sin(x),x*(6 - x**2)/2
6406,cos(2*exp(x)),x**4*(-6*cos(2) + 23*sin(2))/12 + x**3*(-2*cos(2) + sin(2)) - x**2*(2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
6407,-0.5*x**3 + exp(x),x**4/24 - 0.333333333333333*x**3 + x**2/2 + x + 1
6408,3*sqrt(x**2 + 1) + 0.5*sin(x),-0.375*x**4 - 0.0833333333333333*x**3 + 1.5*x**2 + 0.5*x + 3.0
6409,-1.5*exp(x)*sin(x),x*(-0.5*x**2 - 1.5*x - 1.5)
6410,-6*x**2*log(x + 1),3*x**3*(x - 2)
6411,-2*x**2 - sin(x),x*(x**2 - 12*x - 6)/6
6412,-6*x**2,-6*x**2
6413,exp(-sqrt(x**2 + 1)),(x**4 - 2*x**2 + 4)*exp(-1)/4
6414,-3.5*log(x + 1),x*(0.875*x**3 - 1.16666666666667*x**2 + 1.75*x - 3.5)
6415,-6*x**2*exp(x),3*x**2*(-x**2 - 2*x - 2)
6416,log(2.25*x**2 + 3.25),-0.239644970414201*x**4 + 0.692307692307692*x**2 + 1.17865499634165
6417,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
6418,0.25*x**2 - 1.0*x*cos(x) + cos(x)**2,x**4/3 + 0.5*x**3 - 0.75*x**2 - 1.0*x + 1
6419,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
6420,log(0.25*x**2 + 1.25),-0.02*x**4 + 0.2*x**2 + 0.22314355131421
6421,-x**3*cos(x),-x**3
6422,-2*x**3,-2*x**3
6423,-0.5*x - log(x + 1),x*(0.25*x**3 - 0.333333333333333*x**2 + 0.5*x - 1.5)
6424,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
6425,sin(x),-x**3/6 + x
6426,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6427,exp(-3*x**3),1 - 3*x**3
6428,-2*cos(x),-x**4/12 + x**2 - 2
6429,-sin(2*sqrt(x**2 + 1) - cos(x)),x**4*(7*cos(1) + 27*sin(1))/24 - 3*x**2*cos(1)/2 - sin(1)
6430,2*exp(x) - 2*cos(x),x*(x**2 + 6*x + 6)/3
6431,-3*sqrt(x**2 + 1) - exp(x),x**4/3 - x**3/6 - 2*x**2 - x - 4
6432,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
6433,cos(3*x**2),1 - 9*x**4/2
6434,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6435,exp(3*sin(x)),15*x**4/8 + 4*x**3 + 9*x**2/2 + 3*x + 1
6436,2*x**2,2*x**2
6437,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
6438,log(4*log(x + 1)**2 + 1),x**2*(-13*x**2 - 12*x + 12)/3
6439,log(4*x**4 + 1),4*x**4
6440,exp(-0.5*x),0.00260416666666667*x**4 - 0.0208333333333333*x**3 + 0.125*x**2 - 0.5*x + 1
6441,6*x**3*sqrt(x**2 + 1),6*x**3
6442,-0.5*exp(x) - 2*log(x + 1),0.479166666666667*x**4 - 0.75*x**3 + 0.75*x**2 - 2.5*x - 0.5
6443,sin(3*x**3 + 3*sqrt(x**2 + 1)),-3*x**4*(cos(3) + 3*sin(3))/8 + 3*x**3*cos(3) + 3*x**2*cos(3)/2 + sin(3)
6444,-x**3,-x**3
6445,-sin(0.5*sin(x)),x*(0.104166666666667*x**2 - 0.5)
6446,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6447,-2*sqrt(x**2 + 1)*sin(x),2*x*(-x**2 - 3)/3
6448,-sin(1.5*x**3*sqrt(x**2 + 1)),-1.5*x**3
6449,0.25*log(x + 1)**2,x**2*(0.229166666666667*x**2 - 0.25*x + 0.25)
6450,-0.5*x**2 + sqrt(x**2 + 1),1 - x**4/8
6451,-2*log(x + 1) - 2*cos(x),5*x**4/12 - 2*x**3/3 + 2*x**2 - 2*x - 2
6452,cos(2*sqrt(x**2 + 1)),x**4*(-2*cos(2) + sin(2))/4 - x**2*sin(2) + cos(2)
6453,exp(3*sqrt(x**2 + 1)),(3*x**4 + 6*x**2 + 4)*exp(3)/4
6454,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
6455,-6*x**3*cos(x),-6*x**3
6456,exp(2*x**3)*exp(-0.5*sin(x)),-1.0390625*x**4 + 2.0625*x**3 + 0.125*x**2 - 0.5*x + 1
6457,log(4*x**2 + 4*sqrt(x**2 + 1)*cos(x) + cos(x)**2 + 5),-29*x**4/200 + 3*x**2/10 + log(10)
6458,6*x**3*exp(x),6*x**3*(x + 1)
6459,sin(1.0*x**3*log(x + 1)),1.0*x**4
6460,-0.5*x**3 + sqrt(x**2 + 1),-x**4/8 - 0.5*x**3 + x**2/2 + 1
6461,exp(-sqrt(x**2 + 1))*exp(-0.5*sin(x)),(0.1484375*x**4 + 0.3125*x**3 - 0.375*x**2 - 0.5*x + 1)*exp(-1)
6462,2.25*x**4*cos(x)**2,2.25*x**4
6463,-3*x**3,-3*x**3
6464,0.5*x - sqrt(x**2 + 1),x**4/8 - x**2/2 + 0.5*x - 1
6465,-2*cos(x),-x**4/12 + x**2 - 2
6466,x**2 + 3*x,x*(x + 3)
6467,-sin(2*x),4*x**3/3 - 2*x
6468,1.5*x**3*cos(x),1.5*x**3
6469,log(x**6 + 2*x**4 + x**2 + 1),3*x**4/2 + x**2
6470,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
6471,0.25*x**2*exp(2*x) + 0.25*exp(2*x),0.666666666666667*x**4 + 0.833333333333333*x**3 + 0.75*x**2 + 0.5*x + 0.25
6472,3*exp(x) + log(x + 1),-x**4/8 + 5*x**3/6 + x**2 + 4*x + 3
6473,9*log(x + 1)**2,x**2*(33*x**2/4 - 9*x + 9)
6474,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
6475,3*cos(x),x**4/8 - 3*x**2/2 + 3
6476,4*x**2 + 4,4*x**2 + 4
6477,-1.5*x*log(x + 1),x**2*(-0.5*x**2 + 0.75*x - 1.5)
6478,4*x**4,4*x**4
6479,log(4*x**6 - 8*x**3*sin(x) + 4*sin(x)**2 + 1),x**2*(4 - 52*x**2/3)
6480,sin(3*exp(x) + 0.5*sin(x)),9.48961453001537*x**4 + 5.92094446605953*x**3 - 2.34934879426735*x**2 - 3.46497373810156*x + 0.141120008059867
6481,log(9*exp(2*x) + 1),69*x**4/2500 - 12*x**3/125 + 9*x**2/50 + 9*x/5 + log(10)
6482,exp(-1.5*sqrt(x**2 + 1)*exp(x)),(0.8984375*x**4 + 0.6875*x**3 - 0.375*x**2 - 1.5*x + 1)*exp(-3/2)
6483,sin(3*x + 3*sqrt(x**2 + 1)),3*x**4*(6*sin(3) - 19*cos(3))/8 - 9*sqrt(2)*x**3*sin(pi/4 + 3)/2 + 3*x**2*(cos(3) - 3*sin(3))/2 + 3*x*cos(3) + sin(3)
6484,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
6485,-2*x**3 - x,-2*x**3 - x
6486,sqrt(x**2 + 1) + cos(x),2 - x**4/12
6487,x**4,x**4
6488,-2*x**3 - 0.5*sin(x),x*(-1.91666666666667*x**2 - 0.5)
6489,16*x**2*exp(2*x),x**2*(32*x**2 + 32*x + 16)
6490,exp(-x**3)*exp(-sin(x)),7*x**4/8 - x**3 + x**2/2 - x + 1
